,Город,Федеральный округ,lat,lng
20,Алексин,Центральный,"54,502429","37,066034"
77,Белёв,Центральный,"53,809934","36,130097"
106,Богородицк,Центральный,"53,770694","38,131687"
114,Болохово,Центральный,"54,082107","37,82679"
141,Венёв,Центральный,"54,350369","38,265527"
252,Донской,Центральный,"47,992758","37,915058"
385,Кимовск,Центральный,"53,972149","38,533063"
390,Киреевск,Центральный,"53,934944","37,928542"
514,Липки,Центральный,"53,94175","37,701915"
650,Новомосковск,Центральный,"54,010993","38,290896"
735,Плавск,Центральный,"53,706843","37,291987"
856,Советск,Центральный,"57,587599","48,959521"
893,Суворов,Центральный,"54,122083","36,490339"
948,Тула,Центральный,"54,193122","37,617348"
962,Узловая,Центральный,"53,97844","38,160299"
1013,Чекалин,Центральный,"54,098505","36,247372"
1050,Щёкино,Центральный,"54,002146","37,517626"
1079,Ясногорск,Центральный,"54,479555","37,689689"
